record_id,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,club_speed_mph,attack_angle_deg,carry_distance_yd,max_height_yd,total_distance_yd,lateral_offset_yd
1,116.947,6.62,-12.69,1894.3,-28.72,1661.2605,910.2672,,,106.6601,3.62,193.5696,-58.4755
2,124.2618,9.44,-8.13,1527.26,26.18,1370.5822,-673.8158,,,145.713,7.41,230.4899,-14.206
3,124.8434,11.59,-6.66,2319.25,-1.97,2317.8792,79.727,,,185.444,14.16,222.8565,-28.4449
4,118.4234,15.76,0.83,1933.6899,6.54,1921.1067,-220.2411,85.5852,1.34,185.269,18.23,213.3312,9.241
5,125.4474,10.5,-4.99,2501.9199,9.48,2467.7515,-412.0745,91.4236,-0.92,181.157,12.76,222.7143,-9.0989
6,131.4871,5.46,-5.24,3094.1699,10.71,3040.2705,-575.0147,93.6605,-3.04,164.5888,6.77,231.4632,-7.8193
7,120.034,1.85,-10.83,2385.22,11.74,2335.3235,-485.3228,89.6117,-3.92,65.4418,0.55,188.9983,-30.2056
8,133.3885,11.52,0.87,1699.51,-18.24,1614.116,531.9434,92.1618,1.34,195.0241,13.58,248.5892,-13.9108
9,132.27,12.51,-2.64,3077.6599,11.28,3018.2087,-602.002,92.3631,-1.89,212.8609,20.84,236.4173,5.3587
10,130.7713,13.97,-3.17,3704.9199,13.33,3605.103,-854.2036,93.325,-0.61,212.1938,24.91,231.682,8.2458
11,134.3951,12.02,3.2,5894.0698,19.69,5549.4399,-1985.8944,95.1816,-1.79,205.2931,25.36,219.6741,49.4423
12,137.6387,11.5,-2.62,2523.28,0.49,2523.1877,-21.5791,94.8685,-0.47,223.0643,19.15,251.2358,-11.0783
13,141.6652,8.69,-3.22,3181.8799,6.83,3159.2993,-378.4014,97.3067,-1.56,221.5551,16.66,250.6452,-3.5433
14,131.241,3.5,-6.75,3458.1899,-12.76,3372.7856,763.8023,94.2869,-2.4,145.9208,4.11,217.2682,-40.2778
15,117.3497,15.13,5.94,878.89,7.49,871.391,-114.5661,90.9315,0.36,162.0079,12.78,217.5197,26.0499
16,124.0157,14.05,-7.43,3468.6399,4.55,3457.7083,-275.1639,93.4368,-2.84,197.3753,21.82,218.0993,-22.9003
17,132.5832,8.7,-5.18,3350.8101,-7.38,3323.0522,430.4096,96.3448,-1.67,196.8067,13.92,229.0245,-31.5836
18,120.3695,16.39,-2.78,1716.98,-30.67,1476.8079,875.8189,92.2065,1.4,183.049,17.75,212.4672,-34.8972
19,130.4805,5.68,-4.58,3269.22,7.22,3243.2981,-410.874,93.2131,-2.18,167.7822,7.45,230.1837,-9.0551
20,117.1931,16.54,3.31,2538.6399,22.54,2344.7185,-973.1326,95.4501,-3.97,181.9007,19.82,205.7415,35.7612
21,113.2561,20.48,-1.97,4431.4302,10.93,4351.042,-840.2416,91.6025,-4.19,177.6137,29.39,193.3508,8.1802
22,127.7738,13.44,-1.13,3893.9199,20.99,3635.531,-1394.8214,93.5487,-2.03,199.136,21.71,218.9523,26.6732
23,129.2054,11.04,-2.17,4941.7998,25.74,4451.4453,-2146.1646,93.5039,-5.23,190.07,18.47,208.3989,30.3915
24,125.6487,13.22,-0.58,3927.47,17.99,3735.4575,-1213.0031,94.3316,-3.68,194.4991,20.77,214.2716,23.6877
25,126.2079,15.35,7.64,6532.46,29.46,5687.8081,-3212.7671,94.4435,-3.81,184.2301,25.81,192.1369,71.0193
26,128.6909,14.78,2.6,5544.5098,13.54,5390.4097,-1298.1035,93.325,-2.28,200.9733,28.71,216.3276,35.0503
27,120.2353,14.4,-4.41,4790.6201,15.53,4615.7168,-1282.6544,94.3987,-2.84,183.3333,22.32,199.5407,6.3648
28,133.5004,11.94,-4.1,2776.9099,9.39,2739.7012,-453.0633,94.9579,-1.92,213.7358,19.28,239.2279,-4.5385
29,75.4519,30.82,1.71,2470.3201,15.11,2384.9141,-643.9457,63.6408,-3.68,102.1654,19.23,106.4304,9.2957
30,74.2215,27.57,0.9,3076.49,-5.82,3060.6318,311.9671,64.7817,-3.74,96.1286,16.14,117.3447,1.7279
31,92.6539,24.54,-7.29,3709.25,-13.71,3603.5652,879.1208,72.0293,-5.54,136.4173,22.5,136.4173,-27.9418
32,87.3747,21.67,-7.25,4405.2998,-19.57,4150.8188,1475.5914,71.0675,-4.99,117.7056,16.54,124.9016,-28.8495
33,87.7103,26.24,-3.47,2378.6001,5.16,2368.9607,-213.9249,72.6557,-7.26,128.4449,21.08,137.2594,-5.8071
