x,carry_distance_yd,feature,feature_label
116.947,106.6601,ball_speed_mph,Ball speed
124.2618,145.713,ball_speed_mph,Ball speed
124.8434,185.444,ball_speed_mph,Ball speed
118.4234,185.269,ball_speed_mph,Ball speed
125.4474,181.157,ball_speed_mph,Ball speed
131.4871,164.5888,ball_speed_mph,Ball speed
120.034,65.4418,ball_speed_mph,Ball speed
133.3885,195.0241,ball_speed_mph,Ball speed
132.27,212.8609,ball_speed_mph,Ball speed
130.7713,212.1938,ball_speed_mph,Ball speed
134.3951,205.2931,ball_speed_mph,Ball speed
137.6387,223.0643,ball_speed_mph,Ball speed
141.6652,221.5551,ball_speed_mph,Ball speed
131.241,145.9208,ball_speed_mph,Ball speed
117.3497,162.0079,ball_speed_mph,Ball speed
124.0157,197.3753,ball_speed_mph,Ball speed
132.5832,196.8067,ball_speed_mph,Ball speed
120.3695,183.049,ball_speed_mph,Ball speed
130.4805,167.7822,ball_speed_mph,Ball speed
117.1931,181.9007,ball_speed_mph,Ball speed
113.2561,177.6137,ball_speed_mph,Ball speed
127.7738,199.136,ball_speed_mph,Ball speed
129.2054,190.07,ball_speed_mph,Ball speed
125.6487,194.4991,ball_speed_mph,Ball speed
126.2079,184.2301,ball_speed_mph,Ball speed
128.6909,200.9733,ball_speed_mph,Ball speed
120.2353,183.3333,ball_speed_mph,Ball speed
133.5004,213.7358,ball_speed_mph,Ball speed
75.4519,102.1654,ball_speed_mph,Ball speed
74.2215,96.1286,ball_speed_mph,Ball speed
92.6539,136.4173,ball_speed_mph,Ball speed
87.3747,117.7056,ball_speed_mph,Ball speed
87.7103,128.4449,ball_speed_mph,Ball speed
84.7128,116.0105,ball_speed_mph,Ball speed
111.0639,165.1793,ball_speed_mph,Ball speed
113.4798,170.4287,ball_speed_mph,Ball speed
120.2353,153.8167,ball_speed_mph,Ball speed
122.6512,178.8605,ball_speed_mph,Ball speed
119.2287,181.2117,ball_speed_mph,Ball speed
123.0762,165.5074,ball_speed_mph,Ball speed
130.1002,182.4147,ball_speed_mph,Ball speed
119.4748,140.0153,ball_speed_mph,Ball speed
86.8379,108.563,ball_speed_mph,Ball speed
123.8144,157.4584,ball_speed_mph,Ball speed
123.3223,193.143,ball_speed_mph,Ball speed
118.2221,189.5013,ball_speed_mph,Ball speed
116.3654,178.4121,ball_speed_mph,Ball speed
115.068,182.3709,ball_speed_mph,Ball speed
118.9826,171.063,ball_speed_mph,Ball speed
111.4218,148.0862,ball_speed_mph,Ball speed
111.8916,175.4374,ball_speed_mph,Ball speed
110.2586,152.7668,ball_speed_mph,Ball speed
111.981,158.8473,ball_speed_mph,Ball speed
114.8667,178.4996,ball_speed_mph,Ball speed
113.9943,156.6929,ball_speed_mph,Ball speed
117.5734,174.5297,ball_speed_mph,Ball speed
85.1602,102.3622,ball_speed_mph,Ball speed
