feature,output,method,estimate,ci_low,ci_high,iterations
ball_speed_mph,carry_distance_yd,pearson,0.7579103026,0.715684670602,0.795967656372,1000
ball_speed_mph,carry_distance_yd,spearman,0.776022859843,0.73362323998,0.817309559468,1000
ball_speed_mph,max_height_yd,pearson,0.148692244261,0.0782309768088,0.220732007318,1000
ball_speed_mph,max_height_yd,spearman,0.123375433981,0.049922582827,0.195023136857,1000
ball_speed_mph,total_distance_yd,pearson,0.905751352076,0.888759127616,0.921402964284,1000
ball_speed_mph,total_distance_yd,spearman,0.920316817694,0.90389894273,0.93330013791,1000
ball_speed_mph,lateral_offset_yd,pearson,0.0195558079976,-0.058828504049,0.096419843271,1000
ball_speed_mph,lateral_offset_yd,spearman,-0.0113917204148,-0.0834932454203,0.0663271619535,1000
launch_angle_deg,carry_distance_yd,pearson,0.0859263438619,0.00306381936667,0.164519320571,1000
launch_angle_deg,carry_distance_yd,spearman,0.0254049083667,-0.053763255006,0.107242564073,1000
launch_angle_deg,max_height_yd,pearson,0.735177209077,0.701571068861,0.767317235563,1000
launch_angle_deg,max_height_yd,spearman,0.727973165005,0.688252325357,0.762938466553,1000
launch_angle_deg,total_distance_yd,pearson,-0.275389068659,-0.356894276783,-0.20055948442,1000
launch_angle_deg,total_distance_yd,spearman,-0.340117421283,-0.408683121862,-0.272708088104,1000
launch_angle_deg,lateral_offset_yd,pearson,0.119885266874,0.0500886979782,0.187145158028,1000
launch_angle_deg,lateral_offset_yd,spearman,0.160802186821,0.0886501879562,0.228062793265,1000
launch_direction_deg,carry_distance_yd,pearson,0.0156307026994,-0.0755343978924,0.110665672132,1000
launch_direction_deg,carry_distance_yd,spearman,0.061532647206,-0.0101659696581,0.140333804853,1000
launch_direction_deg,max_height_yd,pearson,0.0677509756693,-0.0188571695374,0.163952063857,1000
launch_direction_deg,max_height_yd,spearman,0.105702884219,0.0261326558803,0.183622781291,1000
launch_direction_deg,total_distance_yd,pearson,-0.0679657743123,-0.160594527642,0.0173976136769,1000
launch_direction_deg,total_distance_yd,spearman,-0.00978239932734,-0.0897024929852,0.0624744463064,1000
launch_direction_deg,lateral_offset_yd,pearson,0.760567632889,0.735882806732,0.785999537846,1000
launch_direction_deg,lateral_offset_yd,spearman,0.778160289659,0.744494273672,0.806989522212,1000
spin_rate_rpm,carry_distance_yd,pearson,0.0087804338808,-0.0613126703566,0.0833983963961,1000
spin_rate_rpm,carry_distance_yd,spearman,0.0532459083516,-0.0201126832306,0.124462059709,1000
spin_rate_rpm,max_height_yd,pearson,0.446710519876,0.380583696314,0.506192817509,1000
spin_rate_rpm,max_height_yd,spearman,0.514237105325,0.457782887886,0.567953364955,1000
spin_rate_rpm,total_distance_yd,pearson,-0.357419153261,-0.41572443217,-0.293013237412,1000
spin_rate_rpm,total_distance_yd,spearman,-0.335183102988,-0.395548786559,-0.268129043537,1000
spin_rate_rpm,lateral_offset_yd,pearson,0.174685618159,0.104948254445,0.24310898292,1000
spin_rate_rpm,lateral_offset_yd,spearman,0.199110947591,0.135103304298,0.267151108699,1000
spin_axis_deg,carry_distance_yd,pearson,0.119205450546,0.0428196190358,0.205599567081,1000
spin_axis_deg,carry_distance_yd,spearman,0.118247693454,0.0476106757283,0.186849382541,1000
spin_axis_deg,max_height_yd,pearson,0.149603097155,0.0728491753392,0.225189735143,1000
spin_axis_deg,max_height_yd,spearman,0.115228008292,0.0396035521559,0.188019051772,1000
spin_axis_deg,total_distance_yd,pearson,-0.0454814975862,-0.112461014904,0.0207156839042,1000
spin_axis_deg,total_distance_yd,spearman,-0.0107271497823,-0.0816511393826,0.0575301718453,1000
spin_axis_deg,lateral_offset_yd,pearson,0.707320172471,0.670885740658,0.742050192656,1000
spin_axis_deg,lateral_offset_yd,spearman,0.784626817055,0.752636451474,0.81378787324,1000
backspin_rpm,carry_distance_yd,pearson,0.0580283718997,-0.0134858527337,0.131767925392,1000
backspin_rpm,carry_distance_yd,spearman,0.0933009427301,0.0244239126935,0.171413012478,1000
backspin_rpm,max_height_yd,pearson,0.486604133118,0.429294340911,0.546792770666,1000
backspin_rpm,max_height_yd,spearman,0.553752386059,0.50069652333,0.609721934248,1000
backspin_rpm,total_distance_yd,pearson,-0.315899545593,-0.380353269278,-0.25129117142,1000
backspin_rpm,total_distance_yd,spearman,-0.302050248114,-0.366650063104,-0.231258123746,1000
backspin_rpm,lateral_offset_yd,pearson,0.156645815723,0.0889937212591,0.222509318108,1000
backspin_rpm,lateral_offset_yd,spearman,0.191420166513,0.116499735403,0.258556285165,1000
sidespin_rpm,carry_distance_yd,pearson,-0.100398275981,-0.177404847139,-0.0166407461249,1000
sidespin_rpm,carry_distance_yd,spearman,-0.140975766456,-0.211140178547,-0.0681525527742,1000
sidespin_rpm,max_height_yd,pearson,-0.0998235337561,-0.176336381474,-0.0273391688305,1000
sidespin_rpm,max_height_yd,spearman,-0.135699589554,-0.207472420662,-0.067072329278,1000
sidespin_rpm,total_distance_yd,pearson,0.0223713216529,-0.058176935716,0.10156093319,1000
sidespin_rpm,total_distance_yd,spearman,-0.00793539434771,-0.080729201688,0.0602101744376,1000
sidespin_rpm,lateral_offset_yd,pearson,-0.776664674341,-0.808056612114,-0.74230695247,1000
sidespin_rpm,lateral_offset_yd,spearman,-0.815005113564,-0.84000524915,-0.784051405773,1000
club_speed_mph,carry_distance_yd,pearson,0.581347382095,0.525250604297,0.633524129097,1000
club_speed_mph,carry_distance_yd,spearman,0.589009934919,0.532070113291,0.641694964981,1000
club_speed_mph,max_height_yd,pearson,0.153777921851,0.074675727407,0.228023538,1000
club_speed_mph,max_height_yd,spearman,0.0814085533432,-0.000311613099833,0.155178567842,1000
club_speed_mph,total_distance_yd,pearson,0.700648174257,0.659428342625,0.735395049263,1000
club_speed_mph,total_distance_yd,spearman,0.720688016264,0.677983935973,0.755114500548,1000
club_speed_mph,lateral_offset_yd,pearson,0.0792066565175,-0.00441210682105,0.163140357725,1000
club_speed_mph,lateral_offset_yd,spearman,0.0473813800264,-0.0280901917405,0.125827143263,1000
attack_angle_deg,carry_distance_yd,pearson,0.156081000238,0.0780050283542,0.235871182399,1000
