feature,feature_label,output,output_label,correlation,abs_correlation,n,method
ball_speed_mph,Ball speed,carry_distance_yd,Carry distance,0.7579103026,0.7579103026,735,pearson
ball_speed_mph,Ball speed,max_height_yd,Max height,0.148692244261,0.148692244261,735,pearson
ball_speed_mph,Ball speed,total_distance_yd,Total distance,0.905751352076,0.905751352076,735,pearson
ball_speed_mph,Ball speed,lateral_offset_yd,Lateral offset,0.0195558079976,0.0195558079976,735,pearson
launch_angle_deg,Launch angle,carry_distance_yd,Carry distance,0.0859263438619,0.0859263438619,735,pearson
launch_angle_deg,Launch angle,max_height_yd,Max height,0.735177209077,0.735177209077,735,pearson
launch_angle_deg,Launch angle,total_distance_yd,Total distance,-0.275389068659,0.275389068659,735,pearson
launch_angle_deg,Launch angle,lateral_offset_yd,Lateral offset,0.119885266874,0.119885266874,735,pearson
launch_direction_deg,Launch direction,carry_distance_yd,Carry distance,0.0156307026994,0.0156307026994,735,pearson
launch_direction_deg,Launch direction,max_height_yd,Max height,0.0677509756693,0.0677509756693,735,pearson
launch_direction_deg,Launch direction,total_distance_yd,Total distance,-0.0679657743123,0.0679657743123,735,pearson
launch_direction_deg,Launch direction,lateral_offset_yd,Lateral offset,0.760567632889,0.760567632889,735,pearson
spin_rate_rpm,Spin rate,carry_distance_yd,Carry distance,0.0087804338808,0.0087804338808,735,pearson
spin_rate_rpm,Spin rate,max_height_yd,Max height,0.446710519876,0.446710519876,735,pearson
spin_rate_rpm,Spin rate,total_distance_yd,Total distance,-0.357419153261,0.357419153261,735,pearson
spin_rate_rpm,Spin rate,lateral_offset_yd,Lateral offset,0.174685618159,0.174685618159,735,pearson
spin_axis_deg,Spin axis,carry_distance_yd,Carry distance,0.119205450546,0.119205450546,735,pearson
spin_axis_deg,Spin axis,max_height_yd,Max height,0.149603097155,0.149603097155,735,pearson
spin_axis_deg,Spin axis,total_distance_yd,Total distance,-0.0454814975862,0.0454814975862,735,pearson
spin_axis_deg,Spin axis,lateral_offset_yd,Lateral offset,0.707320172471,0.707320172471,735,pearson
backspin_rpm,Backspin,carry_distance_yd,Carry distance,0.0580283718997,0.0580283718997,735,pearson
backspin_rpm,Backspin,max_height_yd,Max height,0.486604133118,0.486604133118,735,pearson
backspin_rpm,Backspin,total_distance_yd,Total distance,-0.315899545593,0.315899545593,735,pearson
backspin_rpm,Backspin,lateral_offset_yd,Lateral offset,0.156645815723,0.156645815723,735,pearson
sidespin_rpm,Sidespin,carry_distance_yd,Carry distance,-0.100398275981,0.100398275981,735,pearson
sidespin_rpm,Sidespin,max_height_yd,Max height,-0.0998235337561,0.0998235337561,735,pearson
sidespin_rpm,Sidespin,total_distance_yd,Total distance,0.0223713216529,0.0223713216529,735,pearson
sidespin_rpm,Sidespin,lateral_offset_yd,Lateral offset,-0.776664674341,0.776664674341,735,pearson
club_speed_mph,Club speed,carry_distance_yd,Carry distance,0.581347382095,0.581347382095,669,pearson
club_speed_mph,Club speed,max_height_yd,Max height,0.153777921851,0.153777921851,669,pearson
club_speed_mph,Club speed,total_distance_yd,Total distance,0.700648174257,0.700648174257,669,pearson
club_speed_mph,Club speed,lateral_offset_yd,Lateral offset,0.0792066565175,0.0792066565175,669,pearson
attack_angle_deg,Attack angle,carry_distance_yd,Carry distance,0.156081000238,0.156081000238,667,pearson
attack_angle_deg,Attack angle,max_height_yd,Max height,0.106235742561,0.106235742561,667,pearson
attack_angle_deg,Attack angle,total_distance_yd,Total distance,0.242088423174,0.242088423174,667,pearson
attack_angle_deg,Attack angle,lateral_offset_yd,Lateral offset,0.0647311915814,0.0647311915814,667,pearson
ball_speed_mph,Ball speed,carry_distance_yd,Carry distance,0.776022859843,0.776022859843,735,spearman
ball_speed_mph,Ball speed,max_height_yd,Max height,0.123375433981,0.123375433981,735,spearman
ball_speed_mph,Ball speed,total_distance_yd,Total distance,0.920316817694,0.920316817694,735,spearman
ball_speed_mph,Ball speed,lateral_offset_yd,Lateral offset,-0.0113917204148,0.0113917204148,735,spearman
launch_angle_deg,Launch angle,carry_distance_yd,Carry distance,0.0254049083667,0.0254049083667,735,spearman
launch_angle_deg,Launch angle,max_height_yd,Max height,0.727973165005,0.727973165005,735,spearman
launch_angle_deg,Launch angle,total_distance_yd,Total distance,-0.340117421283,0.340117421283,735,spearman
launch_angle_deg,Launch angle,lateral_offset_yd,Lateral offset,0.160802186821,0.160802186821,735,spearman
launch_direction_deg,Launch direction,carry_distance_yd,Carry distance,0.061532647206,0.061532647206,735,spearman
launch_direction_deg,Launch direction,max_height_yd,Max height,0.105702884219,0.105702884219,735,spearman
launch_direction_deg,Launch direction,total_distance_yd,Total distance,-0.00978239932734,0.00978239932734,735,spearman
launch_direction_deg,Launch direction,lateral_offset_yd,Lateral offset,0.778160289659,0.778160289659,735,spearman
spin_rate_rpm,Spin rate,carry_distance_yd,Carry distance,0.0532459083516,0.0532459083516,735,spearman
spin_rate_rpm,Spin rate,max_height_yd,Max height,0.514237105325,0.514237105325,735,spearman
spin_rate_rpm,Spin rate,total_distance_yd,Total distance,-0.335183102988,0.335183102988,735,spearman
