column,label,role,dtype,non_missing,missing_count,missing_rate,min,q1,median,q3,max,mean,std
record_id,record_id,id,int64,735,0,0,1,184.5,368,551.5,735,368,212.320512433
ball_speed_mph,Ball speed,input,float64,735,0,0,65.2514,95.0698,107.5295,118.08785,141.6652,106.791245442,14.9320185184
launch_angle_deg,Launch angle,input,float64,735,0,0,1.85,11.545,15.15,19.06,41.82,15.3059183673,6.08367581179
launch_direction_deg,Launch direction,input,float64,735,0,0,-18.75,-3.45,0.07,3.455,30.24,0.211102040816,5.7509530554
spin_rate_rpm,Spin rate,input,float64,735,0,0,526.3,2448.8701,3629.6799,4876.47485,15368.3604,3804.61044925,1798.93025407
spin_axis_deg,Spin axis,input,float64,735,0,0,-80.49,-10.3,3.57,15.575,81.1,1.0237414966,22.9397749957
backspin_rpm,Backspin,input,float64,735,0,0,166.9899,2239.3464,3457.7083,4711.21945,15367.4893,3574.3466468,1807.91618215
sidespin_rpm,Sidespin,input,float64,735,0,0,-8035.8433,-985.5067,-209.6597,555.83725,3790.0964,-240.429449388,1269.30125706
club_speed_mph,Club speed,input,float64,672,63,0.0857142857143,0,77.398,82.58765,88.605,106.59,82.3180895833,9.664711711
attack_angle_deg,Attack angle,input,float64,670,65,0.0884353741497,-9.7,-4.555,-2.965,-0.52,14.5,-2.25307462687,3.47983910815
carry_distance_yd,Carry distance,output,float64,735,0,0,36.3845,117.26265,142.6728,166.63385,250.5468,141.369277823,37.3080071041
max_height_yd,Max height,output,float64,735,0,0,0.54,9.955,15.52,21.1,40.96,15.8038367347,8.22887095169
total_distance_yd,Total distance,output,float64,735,0,0,54.1885,140.3434,165.5621,188.7413,272.7909,165.597350068,36.4446426039
lateral_offset_yd,Lateral offset,output,float64,735,0,0,-64.8185,-15.2559,1.5529,20.374,98.4252,2.76960789116,26.3683804407
