sample_view,model,fold,rmse,mae,r2
S3_imputed,ExtraTreesRegressor,1,8.31386055642,5.33546501755,0.949048890325
S3_imputed,ExtraTreesRegressor,2,10.2800736981,6.60417148222,0.915261094675
S3_imputed,ExtraTreesRegressor,3,8.87539331876,6.1219701839,0.94741691293
S3_imputed,ExtraTreesRegressor,4,6.81743190249,5.07117012398,0.965501211713
S3_imputed,ExtraTreesRegressor,5,8.60486729675,5.97578302365,0.950221924702
S3_imputed,ExtraTreesRegressor,6,7.38757161882,5.32988825512,0.961755988782
S3_imputed,ExtraTreesRegressor,7,8.80157696078,5.92988093184,0.938775983557
S3_imputed,ExtraTreesRegressor,8,8.11838413653,5.833703871,0.948435254491
S3_imputed,ExtraTreesRegressor,9,10.7388390713,6.83607906576,0.920895938818
S3_imputed,ExtraTreesRegressor,10,7.52742926247,5.66178994528,0.961010303906
S3_imputed,ExtraTreesRegressor,11,9.28266917025,6.18118067915,0.936488599541
S3_imputed,ExtraTreesRegressor,12,10.026389874,6.96634035214,0.942957065359
S3_imputed,ExtraTreesRegressor,13,7.8675155251,5.54142662456,0.945926816371
S3_imputed,ExtraTreesRegressor,14,7.50091044817,5.3419424877,0.955139047417
S3_imputed,ExtraTreesRegressor,15,7.3632428819,5.11706947155,0.961945624038
S3_imputed,ExtraTreesRegressor,16,8.05612717433,5.76954602245,0.952631787506
S3_imputed,ExtraTreesRegressor,17,8.66849050991,5.85531924603,0.950203418773
S3_imputed,ExtraTreesRegressor,18,8.05524978794,5.61019108014,0.948586842322
S3_imputed,ExtraTreesRegressor,19,7.36339406276,4.89808932428,0.958942232717
S3_imputed,ExtraTreesRegressor,20,10.1428642943,6.72859873538,0.929657150002
S3_imputed,ExtraTreesRegressor,21,8.67812846281,5.87655729235,0.948502202023
S3_imputed,ExtraTreesRegressor,22,7.81517196539,5.18601901813,0.955779595417
S3_imputed,ExtraTreesRegressor,23,9.58365810504,6.16697450966,0.931975736159
S3_imputed,ExtraTreesRegressor,24,7.24533187876,5.40202747222,0.960923455814
S3_imputed,ExtraTreesRegressor,25,8.9623594514,6.2581344048,0.942889093991
S3_spin_components,ExtraTreesRegressor,1,7.99032018576,5.3466580747,0.952937332408
S3_spin_components,ExtraTreesRegressor,2,9.30770500104,6.33476827951,0.930533468691
S3_spin_components,ExtraTreesRegressor,3,8.34624671735,5.76045330783,0.953499962863
S3_spin_components,ExtraTreesRegressor,4,6.75072531615,5.20402724002,0.96617302998
S3_spin_components,ExtraTreesRegressor,5,8.73618572966,6.06688239643,0.948691010317
S3_spin_components,ExtraTreesRegressor,6,6.71199359734,4.96323556996,0.968430834955
S3_spin_components,ExtraTreesRegressor,7,9.22690749529,6.3128524109,0.932715788302
S3_spin_components,ExtraTreesRegressor,8,7.62433142904,5.64614949631,0.954520339046
S3_spin_components,ExtraTreesRegressor,9,10.2508414451,6.57800774228,0.927921930799
S3_spin_components,ExtraTreesRegressor,10,7.521446297,5.69607433355,0.961072259001
S3_spin_components,ExtraTreesRegressor,11,8.61409887334,6.08837922791,0.945307767854
S3_spin_components,ExtraTreesRegressor,12,9.74714223329,6.8107609413,0.946090253327
S3_spin_components,ExtraTreesRegressor,13,7.67869090173,5.57922082367,0.94849124006
S3_spin_components,ExtraTreesRegressor,14,7.37858701363,5.25725794077,0.956590284811
S3_spin_components,ExtraTreesRegressor,15,7.41295695155,5.0214984005,0.961430029362
S3_spin_components,ExtraTreesRegressor,16,7.87885057938,5.60763138345,0.954693543342
S3_spin_components,ExtraTreesRegressor,17,8.68096500056,5.86173434505,0.950059994967
S3_spin_components,ExtraTreesRegressor,18,8.2670012614,5.66270143339,0.945848279246
S3_spin_components,ExtraTreesRegressor,19,7.75051424437,5.32718916961,0.954511639904
S3_spin_components,ExtraTreesRegressor,20,8.96924761432,6.46186127996,0.944993912184
S3_spin_components,ExtraTreesRegressor,21,8.33041228231,5.73498141185,0.952546363285
S3_spin_components,ExtraTreesRegressor,22,7.79788199774,5.26735874309,0.955975041817
S3_spin_components,ExtraTreesRegressor,23,8.89556428722,6.10299128114,0.94139316993
S3_spin_components,ExtraTreesRegressor,24,6.81345536648,5.08379633051,0.965443128934
S3_spin_components,ExtraTreesRegressor,25,9.10554741032,6.28729253192,0.941049641076
