sample_view,feature,ridge_coef_mean,ridge_coef_std,ridge_abs_rank,direction,ridge_alpha,ridge_fold_count,positive_frequency,negative_frequency
S3_imputed,attack_angle_deg,-2.96358587975,0.430396891905,5,negative,3.16227766017,25,0,1
S3_imputed,ball_speed_mph,42.3903337237,1.07335415656,1,positive,3.16227766017,25,1,0
S3_imputed,club_speed_mph,-4.62587143642,0.767487526306,3,negative,3.16227766017,25,0,1
S3_imputed,launch_angle_deg,21.0723476638,0.503343094984,2,positive,3.16227766017,25,1,0
S3_imputed,launch_direction_deg,2.1708709047,0.541990783436,6,positive,3.16227766017,25,1,0
S3_imputed,spin_axis_deg,3.53855962846,0.650442954077,4,positive,3.16227766017,25,1,0
S3_imputed,spin_rate_rpm,0.474624896653,0.367747092522,7,positive,3.16227766017,25,0.92,0.08
S3_spin_components,attack_angle_deg,-2.54954120397,0.433380172833,4,negative,3.16227766017,25,0,1
S3_spin_components,backspin_rpm,2.15203761698,0.326933147898,6,positive,3.16227766017,25,1,0
S3_spin_components,ball_speed_mph,42.3310277735,1.05948769942,1,positive,3.16227766017,25,1,0
S3_spin_components,club_speed_mph,-4.65257489225,0.751576716088,3,negative,3.16227766017,25,0,1
S3_spin_components,launch_angle_deg,20.4896118638,0.450662701473,2,positive,3.16227766017,25,1,0
S3_spin_components,launch_direction_deg,2.52446794642,0.582113479574,5,positive,3.16227766017,25,1,0
S3_spin_components,sidespin_rpm,-1.83710989711,0.567031472838,7,negative,3.16227766017,25,0,1
