fold,model,features,n,rmse,mae,r2,baseline_rmse,delta_rmse_vs_ball_speed
1,ball_speed_only,ball_speed_mph,669,26.5457465856,18.5225472157,0.549600693198,26.5457465856,0
1,club_speed_only,club_speed_mph,669,33.9712561686,24.5931138978,0.262382795889,26.5457465856,7.42550958304
1,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,26.4102089253,18.3845887076,0.554188262288,26.5457465856,-0.135537660222
2,ball_speed_only,ball_speed_mph,669,25.7621472886,18.5238063982,0.549164172148,25.7621472886,0
2,club_speed_only,club_speed_mph,669,30.8479605522,24.4963606105,0.353591262698,25.7621472886,5.08581326357
2,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,26.2749430525,18.5870180174,0.531037764691,25.7621472886,0.512795763818
3,ball_speed_only,ball_speed_mph,669,24.732730267,18.186305414,0.519225852724,24.732730267,0
3,club_speed_only,club_speed_mph,669,29.3383171288,22.7405755667,0.323500653506,24.732730267,4.60558686181
3,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,24.7023438546,18.0610012434,0.520406476709,24.732730267,-0.0303864124353
4,ball_speed_only,ball_speed_mph,669,22.050944347,15.3743028055,0.651855061032,22.050944347,0
4,club_speed_only,club_speed_mph,669,29.0017673085,21.2781222569,0.397780758858,22.050944347,6.95082296155
4,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,21.9520133527,15.38192941,0.65497194003,22.050944347,-0.0989309942697
5,ball_speed_only,ball_speed_mph,669,23.3307289073,17.4635391378,0.557412401431,23.3307289073,0
5,club_speed_only,club_speed_mph,669,28.6188325783,22.8945214221,0.334042592563,23.3307289073,5.288103671
5,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,23.3138905638,17.3415280476,0.558051022946,23.3307289073,-0.0168383435201
6,ball_speed_only,ball_speed_mph,669,21.5475284083,16.0422597846,0.637318333135,21.5475284083,0
6,club_speed_only,club_speed_mph,669,27.936074622,21.0007456243,0.390376860284,21.5475284083,6.38854621362
6,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,21.4492170207,15.996221764,0.640620280065,21.5475284083,-0.0983113876277
7,ball_speed_only,ball_speed_mph,669,25.2213515391,18.6048866111,0.606632185158,25.2213515391,0
7,club_speed_only,club_speed_mph,669,31.8915755471,23.6337677814,0.371052981007,25.2213515391,6.67022400802
7,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,25.1186140055,18.5114374374,0.609830374427,25.2213515391,-0.10273753357
8,ball_speed_only,ball_speed_mph,669,24.4257710661,17.0526674241,0.475836671114,24.4257710661,0
8,club_speed_only,club_speed_mph,669,29.6912561966,22.136466364,0.225489670774,24.4257710661,5.2654851305
8,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,24.3808302439,16.9185241184,0.477763706323,24.4257710661,-0.0449408222472
9,ball_speed_only,ball_speed_mph,669,27.2221788996,18.7275854615,0.487719950034,27.2221788996,0
9,club_speed_only,club_speed_mph,669,31.0307262956,24.225085926,0.334350581418,27.2221788996,3.808547396
9,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,27.2988906955,18.5024051213,0.484828683074,27.2221788996,0.0767117959323
10,ball_speed_only,ball_speed_mph,669,24.2094209373,17.7686107759,0.586664172848,24.2094209373,0
10,club_speed_only,club_speed_mph,669,31.5242831766,25.0575443431,0.299150629896,24.2094209373,7.31486223923
10,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,24.0861390131,17.6195729569,0.59086312434,24.2094209373,-0.123281924279
11,ball_speed_only,ball_speed_mph,669,23.9931095146,18.4459703192,0.606568140254,23.9931095146,0
11,club_speed_only,club_speed_mph,669,30.8608873825,24.1523451291,0.349101497172,23.9931095146,6.8677778679
11,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,23.8724655464,18.1477315686,0.610514760575,23.9931095146,-0.120643968237
12,ball_speed_only,ball_speed_mph,669,26.7399372863,18.9697801879,0.502055521472,26.7399372863,0
12,club_speed_only,club_speed_mph,669,32.1895012664,23.3412351914,0.278413086843,26.7399372863,5.44956398013
12,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,26.6062489256,18.908046365,0.507022097944,26.7399372863,-0.133688360704
13,ball_speed_only,ball_speed_mph,669,26.7543032745,18.0258950676,0.453480719322,26.7543032745,0
13,club_speed_only,club_speed_mph,669,31.2893100242,24.0480811859,0.25250176863,26.7543032745,4.53500674971
13,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,26.6628002662,17.8839727248,0.457212652891,26.7543032745,-0.0915030083059
14,ball_speed_only,ball_speed_mph,669,24.0142102571,17.4235771058,0.591159256726,24.0142102571,0
14,club_speed_only,club_speed_mph,669,29.6832386832,23.0315251394,0.375345144553,24.0142102571,5.66902842611
14,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,24.0600763698,17.3041611667,0.589596028696,24.0142102571,0.0458661126681
15,ball_speed_only,ball_speed_mph,669,20.7202743591,15.123638487,0.670542232478,20.7202743591,0
15,club_speed_only,club_speed_mph,669,27.897579845,21.3482649752,0.40276973682,20.7202743591,7.17730548598
15,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,20.8318041239,15.1854465601,0.666985982453,20.7202743591,0.111529764803
16,ball_speed_only,ball_speed_mph,669,23.4898662299,16.7073970807,0.592495111224,23.4898662299,0
16,club_speed_only,club_speed_mph,669,29.4845562026,21.7465057336,0.357961714118,23.4898662299,5.99468997266
16,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,23.4293038395,16.7710648651,0.594593688985,23.4898662299,-0.0605623904416
17,ball_speed_only,ball_speed_mph,669,21.6086311632,16.5485395719,0.612126066655,21.6086311632,0
17,club_speed_only,club_speed_mph,669,26.7648156566,21.2374774647,0.404934743735,21.6086311632,5.15618449342
17,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,21.7246436888,16.4898259765,0.607950047576,21.6086311632,0.116012525617
18,ball_speed_only,ball_speed_mph,669,28.5318301657,19.9127329509,0.509886814953,28.5318301657,0
18,club_speed_only,club_speed_mph,669,34.2886386365,25.7577106201,0.292155909149,28.5318301657,5.75680847076
18,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,28.3975548864,19.6861467134,0.514489059405,28.5318301657,-0.13427527937
19,ball_speed_only,ball_speed_mph,669,20.0283731715,15.1121856814,0.665815456935,20.0283731715,0
19,club_speed_only,club_speed_mph,669,27.059026284,20.694385431,0.390014743028,20.0283731715,7.0306531125
19,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,19.9646095459,15.1446723284,0.667939932831,20.0283731715,-0.063763625601
20,ball_speed_only,ball_speed_mph,669,27.8512154948,19.6416109502,0.487398369515,27.8512154948,0
20,club_speed_only,club_speed_mph,669,33.5217288533,26.4818271855,0.257417870021,27.8512154948,5.67051335848
20,ball_and_club_speed,ball_speed_mph;club_speed_mph,669,27.7892077013,19.3430976111,0.489678335555,27.8512154948,-0.0620077935174
21,ball_speed_only,ball_speed_mph,669,21.0894345434,16.3379240464,0.63152386985,21.0894345434,0
21,club_speed_only,club_speed_mph,669,26.8307344144,20.9922001851,0.403590421889,21.0894345434,5.741299871
