model,cd,cl,lift_scale,objective,calibration_n,failed_count,coarse_grid_rank
drag,0.05,,,1.46998250265,36,0,1
drag,0.111111111111,,,1.79889675212,36,0,2
drag,0.172222222222,,,2.17775984252,36,0,3
drag,0.233333333333,,,2.56678674344,36,0,4
drag,0.294444444444,,,2.94860374158,36,0,5
drag,0.355555555556,,,3.31537989166,36,0,6
drag,0.416666666667,,,3.66408360903,36,0,7
drag,0.477777777778,,,3.99405093289,36,0,8
drag,0.538888888889,,,4.30540395156,36,0,9
drag,0.6,,,4.59900585864,36,0,10
constant_lift,0.27,0.18,,0.339597928369,24,0,1
constant_lift,0.27,0.27,,0.369056393849,24,0,2
constant_lift,0.38,0.27,,0.443764144111,24,0,3
constant_lift,0.16,0.18,,0.501364011824,24,0,4
constant_lift,0.38,0.36,,0.607593389265,24,0,5
constant_lift,0.16,0.09,,0.758704937373,24,0,6
constant_lift,0.49,0.36,,0.82643311236,24,0,7
constant_lift,0.05,0.09,,0.917443570987,24,0,8
constant_lift,0.49,0.45,,1.06921320638,24,0,9
constant_lift,0.38,0.18,,1.18928805507,24,0,10
constant_lift,0.49,0.27,,1.219270491,24,0,11
constant_lift,0.6,0.45,,1.34150457975,24,0,12
constant_lift,0.6,0.36,,1.51493758872,24,0,13
constant_lift,0.27,0.09,,1.61908402957,24,0,14
constant_lift,0.38,0.45,,1.78059987859,24,0,15
constant_lift,0.05,0,,1.88325652178,24,0,16
constant_lift,0.6,0.27,,2.10755060596,24,0,17
constant_lift,0.27,0.36,,2.12104118607,24,0,18
constant_lift,0.49,0.18,,2.14473019693,24,0,19
constant_lift,0.38,0.09,,2.55188845084,24,0,20
constant_lift,0.16,0,,2.6091796754,24,0,21
constant_lift,0.6,0.18,,3.03947601628,24,0,22
constant_lift,0.27,0,,3.38719746799,24,0,23
constant_lift,0.49,0.09,,3.41461942984,24,0,24
constant_lift,0.16,0.27,,3.92484600205,24,0,25
constant_lift,0.38,0,,4.12191838483,24,0,26
constant_lift,0.6,0.09,,4.18617167199,24,0,27
constant_lift,0.49,0,,4.79202048533,24,0,28
constant_lift,0.6,0,,5.39757001256,24,0,29
constant_lift,0.27,0.45,,5.47719488639,24,0,30
constant_lift,0.16,0.36,,10.77065238,24,0,31
constant_lift,0.05,0.18,,11.1844713059,24,0,32
constant_lift,0.16,0.45,,19.294979331,24,0,33
constant_lift,0.05,0.27,,26.8352731757,24,3,34
constant_lift,0.05,0.45,,32.3112838508,24,9,35
constant_lift,0.05,0.36,,37.815736911,24,5,36
spin_factor_lift,0.49,,1.6,1.43884776313,24,1,1
spin_factor_lift,0.16,,0.8,1.60617652512,24,1,2
spin_factor_lift,0.6,,1.6,1.6149798465,24,1,3
spin_factor_lift,0.38,,0.8,1.83311513312,24,0,4
spin_factor_lift,0.05,,0,1.88325652178,24,0,5
spin_factor_lift,0.38,,1.6,1.91568541118,24,1,6
spin_factor_lift,0.27,,0.8,2.12045621415,24,0,7
spin_factor_lift,0.49,,0.8,2.1689205244,24,0,8
spin_factor_lift,0.16,,0,2.6091796754,24,0,9
spin_factor_lift,0.6,,2.4,2.70830206563,24,1,10
spin_factor_lift,0.6,,0.8,2.71741109553,24,0,11
spin_factor_lift,0.27,,0,3.38719746799,24,0,12
spin_factor_lift,0.49,,2.4,3.47278306785,24,1,13
spin_factor_lift,0.6,,3.2,4.09353504054,24,3,14
spin_factor_lift,0.27,,1.6,4.10805045958,24,1,15
spin_factor_lift,0.38,,0,4.12191838483,24,0,16
spin_factor_lift,0.49,,0,4.79202048533,24,0,17
spin_factor_lift,0.6,,4,4.91006715998,24,5,18
spin_factor_lift,0.6,,0,5.39757001256,24,0,19
spin_factor_lift,0.49,,3.2,5.46380105798,24,3,20
spin_factor_lift,0.38,,2.4,5.47831775783,24,1,21
spin_factor_lift,0.49,,4,6.59787690102,24,6,22
spin_factor_lift,0.38,,3.2,8.160284307,24,4,23
spin_factor_lift,0.05,,0.8,9.18393839898,24,1,24
spin_factor_lift,0.27,,2.4,9.63568817977,24,2,25
spin_factor_lift,0.38,,4,10.2687129086,24,6,26
spin_factor_lift,0.16,,1.6,11.6405302486,24,1,27
spin_factor_lift,0.27,,3.2,13.6482583809,24,5,28
spin_factor_lift,0.27,,4,17.9170499106,24,6,29
spin_factor_lift,0.16,,2.4,20.5566446803,24,3,30
spin_factor_lift,0.16,,3.2,21.2180618308,24,8,31
spin_factor_lift,0.05,,1.6,22.0776407567,24,9,32
spin_factor_lift,0.16,,4,24.8285744519,24,9,33
spin_factor_lift,0.05,,3.2,36.9173288649,24,8,34
spin_factor_lift,0.05,,4,42.0170183288,24,7,35
spin_factor_lift,0.05,,2.4,46.3466193429,24,5,36
