model,sensitivity_type,parameter,relative_change,metric,baseline_value,scenario_value,delta,wind_x_mps
constant_lift,parameter,cd,-0.2,carry_yd,134.419121392,149.68391671,15.2647953182,
constant_lift,parameter,cd,-0.2,apex_yd,13.7924865036,15.1493335464,1.35684704275,
constant_lift,parameter,cd,-0.2,lateral_yd,21.1425804386,24.8640774473,3.72149700865,
constant_lift,parameter,cd,-0.2,flight_time_s,3.8832050826,4.15816829047,0.274963207876,
constant_lift,parameter,cd,-0.1,carry_yd,134.419121392,141.506418538,7.08729714586,
constant_lift,parameter,cd,-0.1,apex_yd,13.7924865036,14.4238503045,0.631363800858,
constant_lift,parameter,cd,-0.1,lateral_yd,21.1425804386,22.8312813242,1.68870088558,
constant_lift,parameter,cd,-0.1,flight_time_s,3.8832050826,4.0114236621,0.128218579506,
constant_lift,parameter,cd,0.1,carry_yd,134.419121392,128.198033681,-6.22108771149,
constant_lift,parameter,cd,0.1,apex_yd,13.7924865036,13.2363667523,-0.556119751356,
constant_lift,parameter,cd,0.1,lateral_yd,21.1425804386,19.7152105723,-1.42736986628,
constant_lift,parameter,cd,0.1,flight_time_s,3.8832050826,3.76976564321,-0.113439439392,
constant_lift,parameter,cd,0.2,carry_yd,134.419121392,122.679171775,-11.7399496165,
constant_lift,parameter,cd,0.2,apex_yd,13.7924865036,12.7412059881,-1.05128051555,
constant_lift,parameter,cd,0.2,lateral_yd,21.1425804386,18.491234855,-2.65134558362,
constant_lift,parameter,cd,0.2,flight_time_s,3.8832050826,3.66835472428,-0.214850358317,
constant_lift,parameter,cl,-0.2,carry_yd,134.419121392,125.238198392,-9.18092300009,
constant_lift,parameter,cl,-0.2,apex_yd,13.7924865036,11.8946583108,-1.89782819288,
constant_lift,parameter,cl,-0.2,lateral_yd,21.1425804386,18.3110831836,-2.831497255,
constant_lift,parameter,cl,-0.2,flight_time_s,3.8832050826,3.49551206306,-0.387693019542,
constant_lift,parameter,cl,-0.1,carry_yd,134.419121392,129.86129869,-4.55782270173,
constant_lift,parameter,cl,-0.1,apex_yd,13.7924865036,12.8015675854,-0.990918918247,
constant_lift,parameter,cl,-0.1,lateral_yd,21.1425804386,19.6980235987,-1.44455683993,
constant_lift,parameter,cl,-0.1,flight_time_s,3.8832050826,3.68616461579,-0.197040466803,
constant_lift,parameter,cl,0.1,carry_yd,134.419121392,138.865844812,4.44672341949,
constant_lift,parameter,cl,0.1,apex_yd,13.7924865036,14.8698165724,1.07733006876,
constant_lift,parameter,cl,0.1,lateral_yd,21.1425804386,22.6327433642,1.49016292561,
constant_lift,parameter,cl,0.1,flight_time_s,3.8832050826,4.0854344661,0.202229383498,
constant_lift,parameter,cl,0.2,carry_yd,134.419121392,143.157123337,8.73800194497,
constant_lift,parameter,cl,0.2,apex_yd,13.7924865036,16.0334196176,2.24093311393,
constant_lift,parameter,cl,0.2,lateral_yd,21.1425804386,24.1549090566,3.01232861804,
constant_lift,parameter,cl,0.2,flight_time_s,3.8832050826,4.29153265074,0.40832756814,
constant_lift,wind,no_wind,,carry_yd,134.419121392,134.419121392,0,0
constant_lift,wind,no_wind,,apex_yd,13.7924865036,13.7924865036,0,0
constant_lift,wind,no_wind,,lateral_yd,21.1425804386,21.1425804386,0,0
constant_lift,wind,no_wind,,flight_time_s,3.8832050826,3.8832050826,0,0
constant_lift,wind,tailwind_1mps,,carry_yd,134.419121392,134.914324982,0.495203589941,1
constant_lift,wind,tailwind_1mps,,apex_yd,13.7924865036,13.4899622094,-0.302524294284,1
constant_lift,wind,tailwind_1mps,,lateral_yd,21.1425804386,20.8697289281,-0.272851510456,1
constant_lift,wind,tailwind_1mps,,flight_time_s,3.8832050826,3.82251481942,-0.0606902631748,1
constant_lift,wind,headwind_1mps,,carry_yd,134.419121392,133.82269802,-0.596423372193,-1
constant_lift,wind,headwind_1mps,,apex_yd,13.7924865036,14.1074818815,0.31499537782,-1
constant_lift,wind,headwind_1mps,,lateral_yd,21.1425804386,21.4167913301,0.274210891527,-1
constant_lift,wind,headwind_1mps,,flight_time_s,3.8832050826,3.94509352263,0.0618884400363,-1
constant_lift,spin_decay,spin_decay_6s,,carry_yd,134.419121392,134.419121392,0,
constant_lift,spin_decay,spin_decay_6s,,apex_yd,13.7924865036,13.7924865036,0,
constant_lift,spin_decay,spin_decay_6s,,lateral_yd,21.1425804386,21.1425804386,3.5527136788e-15,
constant_lift,spin_decay,spin_decay_6s,,flight_time_s,3.8832050826,3.8832050826,0,
constant_lift,spin_decay,spin_decay_3s,,carry_yd,134.419121392,134.419121392,-2.84217094304e-14,
constant_lift,spin_decay,spin_decay_3s,,apex_yd,13.7924865036,13.7924865036,0,
constant_lift,spin_decay,spin_decay_3s,,lateral_yd,21.1425804386,21.1425804386,3.5527136788e-15,
constant_lift,spin_decay,spin_decay_3s,,flight_time_s,3.8832050826,3.8832050826,0,
constant_lift,solver_tolerance,rtol_x10,,carry_yd,134.419121392,134.419121392,0,
constant_lift,solver_tolerance,rtol_x10,,apex_yd,13.7924865036,13.7924569764,-2.95272280884e-05,
constant_lift,solver_tolerance,rtol_x10,,lateral_yd,21.1425804386,21.1425804386,7.1054273576e-15,
constant_lift,solver_tolerance,rtol_x10,,flight_time_s,3.8832050826,3.8832050826,0,
constant_lift,solver_tolerance,atol_x10,,carry_yd,134.419121392,134.419121392,5.68434188608e-14,
constant_lift,solver_tolerance,atol_x10,,apex_yd,13.7924865036,13.7925255096,3.90059143758e-05,
constant_lift,solver_tolerance,atol_x10,,lateral_yd,21.1425804386,21.1425804386,-1.06581410364e-14,
constant_lift,solver_tolerance,atol_x10,,flight_time_s,3.8832050826,3.8832050826,4.4408920985e-16,
