record_id,calibration_type,cluster_or_stratum,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,carry_distance_yd,apex_height_yd,launch_direction_deg,lateral_offset_yd
34,lift,cluster_022,84.7128,24.7,4218.3901,9.81,116.0105,19.04,0.42,7.3491
87,lift,cluster_004,119.1169,19.19,4913.0898,14.71,188.528,30.77,-2.08,12.9812
167,lift,cluster_003,91.3117,19.38,7915.2402,-12.95,120.5818,17.4,-14.15,-44.8491
199,lift,cluster_020,103.6149,16.31,6297.5601,9,146.413,19.18,-1.55,6.1242
224,lift,cluster_005,112.9876,2.72,2332.3101,10.83,71.8941,0.87,-5.93,-16.6667
227,lift,cluster_001,114.7772,10.62,2139.76,4.54,150.1531,9.42,-3.03,-6.168
271,lift,cluster_012,108.7151,12.46,4354.6699,-2.52,152.3731,13.99,-5.13,-18.4711
356,lift,cluster_002,88.0234,14.53,1913.8101,-40.53,92.465,6.86,-5.1,-27.4278
381,lift,cluster_014,130.0778,8.43,15368.3604,-0.61,169.7616,24.98,-5.24,-18.5258
382,lift,cluster_006,128.1988,4.6,2723.5,6.06,140.1028,4.29,-17.45,-59.241
394,lift,cluster_017,92.8552,18.38,2526.6201,5.52,127.3731,13.93,0.39,4.5713
407,lift,cluster_008,123.9486,11.27,3216.8501,-1.57,186.7782,15.77,-3.88,-16.6229
415,lift,cluster_021,97.7094,5.32,2258.95,42.2,61.0346,1.52,-2.53,7.9615
462,lift,cluster_019,117.7076,15.26,2172.5701,-22.49,176.2795,18.66,-2.31,-27.5919
472,lift,cluster_010,92.4749,26.13,5463.7598,-3.31,121.3911,26.91,-4.62,-11.2314
481,lift,cluster_013,103.5925,14.71,1559.52,11.16,138.8451,11.98,1.5,10.9908
490,lift,cluster_023,87.1734,24.57,6704.8901,-2.75,111.472,22.21,-0.15,-2.7778
522,lift,cluster_009,88.0682,13.52,4993.6699,18.09,102.4825,8.53,0.05,11.308
557,lift,cluster_007,93.7276,37.56,5517.4199,-9.99,125.6234,40.68,1.64,-5.0087
568,lift,cluster_016,124.0381,9.39,4506.5498,18.86,175.2843,13.67,2.8,34.1973
601,lift,cluster_011,133.3885,14.37,2760.6599,13.15,222.2878,24.18,0.06,19.7835
624,lift,cluster_018,110.3033,10.34,1519.63,-52.83,106.168,5.44,0.25,-22.2988
656,lift,cluster_000,105.0689,19.84,4156.6499,9.29,159.077,23.36,-1.12,6.6054
698,lift,cluster_015,95.0698,19.68,5621.1899,12.62,126.192,19.98,3.45,21.3473
