model,carry_definition,cd,cl,lift_scale,objective,calibration_n,failed_count,coarse_grid_rank
drag,forward_x,0.05,,,1.48896567722,36,0,1
drag,forward_x,0.111111111111,,,1.82606603239,36,0,2
drag,forward_x,0.172222222222,,,2.20915001507,36,0,3
drag,forward_x,0.233333333333,,,2.60114040396,36,0,4
drag,forward_x,0.294444444444,,,2.98477498014,36,0,5
drag,forward_x,0.355555555556,,,3.35257526842,36,0,6
drag,forward_x,0.416666666667,,,3.70249746298,36,0,7
drag,forward_x,0.477777777778,,,4.03287569634,36,0,8
drag,forward_x,0.538888888889,,,4.3443779986,36,0,9
drag,forward_x,0.6,,,4.6385668761,36,0,10
constant_lift,forward_x,0.27,0.27,,0.349735046963,24,0,1
constant_lift,forward_x,0.27,0.18,,0.354581529426,24,0,2
constant_lift,forward_x,0.16,0.18,,0.464547070246,24,0,3
constant_lift,forward_x,0.38,0.27,,0.466160354539,24,0,4
constant_lift,forward_x,0.38,0.36,,0.621798390553,24,0,5
constant_lift,forward_x,0.16,0.09,,0.778101652371,24,0,6
constant_lift,forward_x,0.49,0.36,,0.86566647273,24,0,7
constant_lift,forward_x,0.05,0.09,,0.912110283163,24,0,8
constant_lift,forward_x,0.49,0.45,,1.11621055164,24,0,9
constant_lift,forward_x,0.38,0.18,,1.21789052415,24,0,10
constant_lift,forward_x,0.49,0.27,,1.25457210981,24,0,11
constant_lift,forward_x,0.6,0.45,,1.39988424572,24,0,12
constant_lift,forward_x,0.6,0.36,,1.56160376319,24,0,13
constant_lift,forward_x,0.27,0.09,,1.64557045468,24,0,14
constant_lift,forward_x,0.38,0.45,,1.78741026814,24,0,15
constant_lift,forward_x,0.05,0,,1.90525178319,24,0,16
constant_lift,forward_x,0.27,0.36,,2.04977640262,24,0,17
constant_lift,forward_x,0.6,0.27,,2.14656403379,24,0,18
constant_lift,forward_x,0.49,0.18,,2.17750207893,24,0,19
constant_lift,forward_x,0.38,0.09,,2.58179898242,24,0,20
constant_lift,forward_x,0.16,0,,2.63428382577,24,0,21
constant_lift,forward_x,0.6,0.18,,3.07398133241,24,0,22
constant_lift,forward_x,0.27,0,,3.41330948001,24,0,23
constant_lift,forward_x,0.49,0.09,,3.4446064159,24,0,24
constant_lift,forward_x,0.16,0.27,,3.72417060152,24,0,25
constant_lift,forward_x,0.38,0,,4.14854612566,24,0,26
constant_lift,forward_x,0.6,0.09,,4.21656273109,24,0,27
constant_lift,forward_x,0.49,0,,4.81996050269,24,0,28
constant_lift,forward_x,0.27,0.45,,5.34122692633,24,0,29
constant_lift,forward_x,0.6,0,,5.42458820115,24,0,30
constant_lift,forward_x,0.16,0.36,,10.3159319937,24,0,31
constant_lift,forward_x,0.05,0.18,,10.6923900613,24,0,32
constant_lift,forward_x,0.16,0.45,,18.5613541749,24,0,33
constant_lift,forward_x,0.05,0.27,,37.5593247742,24,3,34
constant_lift,forward_x,0.05,0.36,,55.889318893,24,5,35
constant_lift,forward_x,0.05,0.45,,66.8641906207,24,9,36
spin_factor_lift,forward_x,0.38,,0.8,1.84925054921,24,0,1
spin_factor_lift,forward_x,0.05,,0,1.90525178319,24,0,2
spin_factor_lift,forward_x,0.27,,0.8,2.10403198101,24,0,3
spin_factor_lift,forward_x,0.49,,0.8,2.19808409417,24,0,4
spin_factor_lift,forward_x,0.16,,0,2.63428382577,24,0,5
spin_factor_lift,forward_x,0.6,,0.8,2.75186920309,24,0,6
spin_factor_lift,forward_x,0.27,,0,3.41330948001,24,0,7
spin_factor_lift,forward_x,0.38,,0,4.14854612566,24,0,8
spin_factor_lift,forward_x,0.49,,0,4.81996050269,24,0,9
spin_factor_lift,forward_x,0.6,,0,5.42458820115,24,0,10
spin_factor_lift,forward_x,0.16,,0.8,5.65671237393,24,1,11
spin_factor_lift,forward_x,0.49,,1.6,5.66665391335,24,1,12
spin_factor_lift,forward_x,0.6,,1.6,5.86090411114,24,1,13
spin_factor_lift,forward_x,0.38,,1.6,6.08899048011,24,1,14
spin_factor_lift,forward_x,0.6,,2.4,7.01768154344,24,1,15
spin_factor_lift,forward_x,0.49,,2.4,7.78084674659,24,1,16
spin_factor_lift,forward_x,0.27,,1.6,8.11320581298,24,1,17
spin_factor_lift,forward_x,0.38,,2.4,9.70392397961,24,1,18
spin_factor_lift,forward_x,0.05,,0.8,12.6696733643,24,1,19
spin_factor_lift,forward_x,0.16,,1.6,15.0010251536,24,1,20
spin_factor_lift,forward_x,0.6,,3.2,16.9256249471,24,3,21
spin_factor_lift,forward_x,0.27,,2.4,17.8445553148,24,2,22
spin_factor_lift,forward_x,0.49,,3.2,18.2516215772,24,3,23
spin_factor_lift,forward_x,0.38,,3.2,25.0244928615,24,4,24
spin_factor_lift,forward_x,0.6,,4,26.3620728308,24,5,25
spin_factor_lift,forward_x,0.49,,4,32.2271886314,24,6,26
spin_factor_lift,forward_x,0.16,,2.4,32.6340907907,24,3,27
spin_factor_lift,forward_x,0.27,,3.2,34.5397361303,24,5,28
spin_factor_lift,forward_x,0.38,,4,35.8335159354,24,6,29
spin_factor_lift,forward_x,0.27,,4,43.2219011859,24,6,30
spin_factor_lift,forward_x,0.16,,3.2,54.2712706298,24,8,31
spin_factor_lift,forward_x,0.05,,1.6,58.9380773422,24,9,32
spin_factor_lift,forward_x,0.16,,4,62.0829451989,24,9,33
spin_factor_lift,forward_x,0.05,,2.4,65.6797745927,24,5,34
spin_factor_lift,forward_x,0.05,,3.2,69.8551746157,24,8,35
spin_factor_lift,forward_x,0.05,,4,70.1876856427,24,7,36
