record_id,carry_distance_yd,apex_height_yd,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg
404,36.3845,0.54,82.3193,3.58,0.27,2897.95,13.85
235,68.7773,1.06,110.6836,3.28,-6.12,2273.75,15.83
487,79.1557,1.39,118.1102,3.36,-2.35,1845.48,29.46
168,92.2244,6.52,93.3474,14.15,-0.27,1894.63,-61.39
396,96.0302,5.33,93.2579,9.75,-0.37,3814.0601,22.64
189,100.7437,5.57,96.7922,10.7,-4.07,1770.58,-7.91
525,105.818,22.41,80.731,29.32,5.09,6339.0801,4.62
474,113.9436,22.65,90.7078,24.37,2.13,6497.3301,25.69
91,116.2839,17.9,88.2695,21.01,0.85,5276.8398,-9.88
605,118.8539,23.84,85.6747,28.22,-0.32,4782.3901,-0.3
295,121.3801,6.7,113.5245,10.3,-0.69,1564.88,-42.12
263,123.8517,24.85,88.9182,27.39,-7.6,5407.04,-10.48
412,126.4326,29.71,94.3092,28.2,-4.27,5826.5698,-15.21
95,129.3963,25.1,95.0698,23.47,0.73,5985.8799,-5.34
659,132.2835,15.42,96.6133,18.02,3.84,4026.3899,25.43
340,136.1439,14.93,99.8121,14.81,2.55,5639.79,6.6
503,139.2388,19.52,102.1161,16.97,4.7,5133.1201,13.83
155,141.6776,11.94,104.1741,13.72,-10.44,2678.29,-3.8
638,145.0459,13.51,105.2479,12.65,-3.17,4815.0601,1.2
123,146.7192,15.51,103.4583,16.09,12.08,2460.8701,-9.45
595,150.2078,14.53,109.9678,15.45,15.75,2974.6299,33.17
162,152.9746,15.98,106.5005,14.54,-1.99,4092.29,2.37
302,155.8618,16.33,111.4665,13.55,6.23,5215.04,21.79
674,159.0661,14.49,113.0548,12.77,-3.03,4459.6001,27.63
247,162.4563,11.96,118.9379,13.54,0.75,1268.91,-19.21
669,165.2559,15.12,111.7573,13.11,-5.16,3532.48,0.33
520,167.5197,15.86,120.034,10.41,4.32,3988.6799,-15.14
447,170.6584,25.73,118.7366,14.8,-4.56,4731.4199,-1.25
321,175.0219,27.45,112.7416,19.07,0.1,4827.3599,-4.43
47,178.4121,20.67,116.3654,17.18,-0.66,3158.6599,32.63
48,182.3709,25.1,115.068,19.53,-0.53,3298.25,28.54
429,185.8815,14.56,127.0804,10.9,-1.85,2311.49,-11.86
600,191.5245,31.79,118.7142,20.57,2.47,4002.25,15.28
590,199.9453,17.9,130.3015,10.06,0.39,4075.6399,3.08
28,213.7358,19.28,133.5004,11.94,-4.1,2776.9099,9.39
619,250.5468,35.25,140.8822,17.8,0.48,2683.95,18.69
