model,sensitivity_type,parameter,relative_change,metric,carry_definition,baseline_value,scenario_value,delta,wind_x_mps
constant_lift,parameter,cd,-0.2,carry_yd,forward_x,145.049248079,161.52376946,16.474521381,
constant_lift,parameter,cd,-0.2,apex_yd,,16.1685687557,17.9414943642,1.77292560853,
constant_lift,parameter,cd,-0.2,lateral_yd,,25.4710486898,30.2672061884,4.79615749858,
constant_lift,parameter,cd,-0.2,flight_time_s,,4.33084851348,4.6667778345,0.335929321015,
constant_lift,parameter,cd,-0.1,carry_yd,forward_x,145.049248079,152.705280959,7.65603288079,
constant_lift,parameter,cd,-0.1,apex_yd,,16.1685687557,16.9892519072,0.820683151479,
constant_lift,parameter,cd,-0.1,lateral_yd,,25.4710486898,27.640773448,2.16972475818,
constant_lift,parameter,cd,-0.1,flight_time_s,,4.33084851348,4.48713869626,0.156290182779,
constant_lift,parameter,cd,0.1,carry_yd,forward_x,145.049248079,138.321840841,-6.72740723794,
constant_lift,parameter,cd,0.1,apex_yd,,16.1685687557,15.4518835208,-0.716685234919,
constant_lift,parameter,cd,0.1,lateral_yd,,25.4710486898,23.6469117328,-1.824136957,
constant_lift,parameter,cd,0.1,flight_time_s,,4.33084851348,4.19314608443,-0.137702429054,
constant_lift,parameter,cd,0.2,carry_yd,forward_x,145.049248079,132.350167885,-12.6990801933,
constant_lift,parameter,cd,0.2,apex_yd,,16.1685687557,14.8185108415,-1.35005791422,
constant_lift,parameter,cd,0.2,lateral_yd,,25.4710486898,22.0906738969,-3.38037479287,
constant_lift,parameter,cd,0.2,flight_time_s,,4.33084851348,4.0705337789,-0.260314734578,
constant_lift,parameter,cl,-0.2,carry_yd,forward_x,145.049248079,134.429321835,-10.6199262441,
constant_lift,parameter,cl,-0.2,apex_yd,,16.1685687557,13.4929190428,-2.67564971289,
constant_lift,parameter,cl,-0.2,lateral_yd,,25.4710486898,21.5456463372,-3.92540235265,
constant_lift,parameter,cl,-0.2,flight_time_s,,4.33084851348,3.83087092322,-0.499977590256,
constant_lift,parameter,cl,-0.1,carry_yd,forward_x,145.049248079,139.855887111,-5.19336096769,
constant_lift,parameter,cl,-0.1,apex_yd,,16.1685687557,14.7649862617,-1.40358249399,
constant_lift,parameter,cl,-0.1,lateral_yd,,25.4710486898,23.4746680721,-1.99638061768,
constant_lift,parameter,cl,-0.1,flight_time_s,,4.33084851348,4.07723515696,-0.253613356519,
constant_lift,parameter,cl,0.1,carry_yd,forward_x,145.049248079,149.927632354,4.8783842756,
constant_lift,parameter,cl,0.1,apex_yd,,16.1685687557,17.7036274829,1.53505872717,
constant_lift,parameter,cl,0.1,lateral_yd,,25.4710486898,27.50669118,2.03564249019,
constant_lift,parameter,cl,0.1,flight_time_s,,4.33084851348,4.58920931788,0.2583608044,
constant_lift,parameter,cl,0.2,carry_yd,forward_x,145.049248079,154.418810912,9.3695628335,
constant_lift,parameter,cl,0.2,apex_yd,,16.1685687557,19.3651896457,3.19662088995,
constant_lift,parameter,cl,0.2,lateral_yd,,25.4710486898,29.5515124076,4.08046371777,
constant_lift,parameter,cl,0.2,flight_time_s,,4.33084851348,4.84969564076,0.518847127276,
constant_lift,wind,no_wind,,carry_yd,forward_x,145.049248079,145.049248079,0,0
constant_lift,wind,no_wind,,apex_yd,,16.1685687557,16.1685687557,0,0
constant_lift,wind,no_wind,,lateral_yd,,25.4710486898,25.4710486898,0,0
constant_lift,wind,no_wind,,flight_time_s,,4.33084851348,4.33084851348,0,0
constant_lift,wind,tailwind_1mps,,carry_yd,forward_x,145.049248079,145.468749111,0.419501031919,1
constant_lift,wind,tailwind_1mps,,apex_yd,,16.1685687557,15.7202224564,-0.448346299298,1
constant_lift,wind,tailwind_1mps,,lateral_yd,,25.4710486898,25.0555721263,-0.415476563524,1
constant_lift,wind,tailwind_1mps,,flight_time_s,,4.33084851348,4.24980500082,-0.0810435126551,1
constant_lift,wind,headwind_1mps,,carry_yd,forward_x,145.049248079,144.483755487,-0.565492592145,-1
constant_lift,wind,headwind_1mps,,apex_yd,,16.1685687557,16.6369275538,0.468358798089,-1
constant_lift,wind,headwind_1mps,,lateral_yd,,25.4710486898,25.8874349263,0.416386236508,-1
constant_lift,wind,headwind_1mps,,flight_time_s,,4.33084851348,4.41346243766,0.0826139241817,-1
constant_lift,spin_decay,spin_decay_6s,,carry_yd,forward_x,145.049248079,145.049248079,5.68434188608e-14,
constant_lift,spin_decay,spin_decay_6s,,apex_yd,,16.1685687557,16.1685687557,0,
constant_lift,spin_decay,spin_decay_6s,,lateral_yd,,25.4710486898,25.4710486898,3.5527136788e-15,
constant_lift,spin_decay,spin_decay_6s,,flight_time_s,,4.33084851348,4.33084851348,8.881784197e-16,
constant_lift,spin_decay,spin_decay_3s,,carry_yd,forward_x,145.049248079,145.049248079,2.84217094304e-14,
constant_lift,spin_decay,spin_decay_3s,,apex_yd,,16.1685687557,16.1685687557,0,
constant_lift,spin_decay,spin_decay_3s,,lateral_yd,,25.4710486898,25.4710486898,-1.06581410364e-14,
constant_lift,spin_decay,spin_decay_3s,,flight_time_s,,4.33084851348,4.33084851348,0,
constant_lift,solver_tolerance,rtol_x10,,carry_yd,forward_x,145.049248079,145.049248079,-2.84217094304e-14,
