target,feature_set,model,metric,ci_low,ci_high,iterations,confidence_level
apex_height_yd,full_shot_model,dummy,mae,5.67689442224,6.82851776942,1000,0.95
apex_height_yd,full_shot_model,dummy,mape,78.8774079938,161.4023457,1000,0.95
apex_height_yd,full_shot_model,dummy,rmse,7.04608330424,8.36982785736,1000,0.95
apex_height_yd,full_shot_model,extra_trees,mae,1.1314786814,1.39800143631,1000,0.95
apex_height_yd,full_shot_model,extra_trees,mape,11.9196454727,19.1229777203,1000,0.95
apex_height_yd,full_shot_model,extra_trees,rmse,1.48687283941,1.83714891038,1000,0.95
apex_height_yd,full_shot_model,hist_gradient_boosting,mae,1.09444736947,1.4063545102,1000,0.95
apex_height_yd,full_shot_model,hist_gradient_boosting,mape,10.3633300718,21.1519417745,1000,0.95
apex_height_yd,full_shot_model,hist_gradient_boosting,rmse,1.47290743767,1.9688304435,1000,0.95
apex_height_yd,full_shot_model,linear,mae,1.5083261891,1.92238997108,1000,0.95
apex_height_yd,full_shot_model,linear,mape,16.5985901961,38.1663192168,1000,0.95
apex_height_yd,full_shot_model,linear,rmse,2.07235739613,2.58435046625,1000,0.95
apex_height_yd,full_shot_model,ridge,mae,1.51285482268,1.92173345997,1000,0.95
apex_height_yd,full_shot_model,ridge,mape,16.3232901477,35.7470608074,1000,0.95
apex_height_yd,full_shot_model,ridge,rmse,2.07404506197,2.5800266094,1000,0.95
apex_height_yd,launch_state_model,dummy,mae,5.67689442224,6.82851776942,1000,0.95
apex_height_yd,launch_state_model,dummy,mape,78.8774079938,161.4023457,1000,0.95
apex_height_yd,launch_state_model,dummy,rmse,7.04608330424,8.36982785736,1000,0.95
apex_height_yd,launch_state_model,extra_trees,mae,1.03688519925,1.30005653641,1000,0.95
apex_height_yd,launch_state_model,extra_trees,mape,11.2062519873,18.1371297561,1000,0.95
apex_height_yd,launch_state_model,extra_trees,rmse,1.36968402044,1.74244492658,1000,0.95
apex_height_yd,launch_state_model,hist_gradient_boosting,mae,1.08726018254,1.42600665129,1000,0.95
apex_height_yd,launch_state_model,hist_gradient_boosting,mape,9.91321012201,20.6977005012,1000,0.95
apex_height_yd,launch_state_model,hist_gradient_boosting,rmse,1.49282240107,2.00264745432,1000,0.95
apex_height_yd,launch_state_model,linear,mae,1.5372277609,1.94432781163,1000,0.95
apex_height_yd,launch_state_model,linear,mape,16.456199568,37.7211343712,1000,0.95
apex_height_yd,launch_state_model,linear,rmse,2.0825415083,2.59570971691,1000,0.95
apex_height_yd,launch_state_model,ridge,mae,1.52321305559,1.94370779293,1000,0.95
apex_height_yd,launch_state_model,ridge,mape,16.2722911522,37.0526975687,1000,0.95
apex_height_yd,launch_state_model,ridge,rmse,2.06551679708,2.59661204067,1000,0.95
carry_distance_yd,full_shot_model,dummy,mae,26.3400925468,32.0692834591,1000,0.95
carry_distance_yd,full_shot_model,dummy,mape,22.1915174989,31.8148028789,1000,0.95
carry_distance_yd,full_shot_model,dummy,rmse,32.917338317,39.6605198428,1000,0.95
carry_distance_yd,full_shot_model,extra_trees,mae,4.84186724045,6.47659883924,1000,0.95
carry_distance_yd,full_shot_model,extra_trees,mape,4.13398235402,7.02803571609,1000,0.95
carry_distance_yd,full_shot_model,extra_trees,rmse,6.94285102058,9.91408522493,1000,0.95
carry_distance_yd,full_shot_model,hist_gradient_boosting,mae,4.50717190571,6.16177999088,1000,0.95
carry_distance_yd,full_shot_model,hist_gradient_boosting,mape,3.9197629801,6.34041980327,1000,0.95
carry_distance_yd,full_shot_model,hist_gradient_boosting,rmse,6.5708976134,10.264181378,1000,0.95
carry_distance_yd,full_shot_model,linear,mae,9.25937058443,11.6566901203,1000,0.95
carry_distance_yd,full_shot_model,linear,mape,7.64045633016,11.4507322827,1000,0.95
carry_distance_yd,full_shot_model,linear,rmse,11.6901230674,16.3153894489,1000,0.95
carry_distance_yd,full_shot_model,ridge,mae,9.13759595902,11.5758186676,1000,0.95
carry_distance_yd,full_shot_model,ridge,mape,7.59586210545,11.4743399419,1000,0.95
carry_distance_yd,full_shot_model,ridge,rmse,11.5676120954,16.3171200086,1000,0.95
carry_distance_yd,launch_state_model,dummy,mae,26.3400925468,32.0692834591,1000,0.95
carry_distance_yd,launch_state_model,dummy,mape,22.1915174989,31.8148028789,1000,0.95
carry_distance_yd,launch_state_model,dummy,rmse,32.917338317,39.6605198428,1000,0.95
carry_distance_yd,launch_state_model,extra_trees,mae,4.81698454025,6.41229526405,1000,0.95
carry_distance_yd,launch_state_model,extra_trees,mape,4.10373478611,6.92631845119,1000,0.95
carry_distance_yd,launch_state_model,extra_trees,rmse,6.96560708577,9.74978322775,1000,0.95
carry_distance_yd,launch_state_model,hist_gradient_boosting,mae,4.47829062338,6.14776406912,1000,0.95
carry_distance_yd,launch_state_model,hist_gradient_boosting,mape,3.8873414892,6.28095893714,1000,0.95
carry_distance_yd,launch_state_model,hist_gradient_boosting,rmse,6.5266476151,10.0678067344,1000,0.95
carry_distance_yd,launch_state_model,linear,mae,9.87949887181,12.2692244765,1000,0.95
carry_distance_yd,launch_state_model,linear,mape,8.11949239647,12.2184186757,1000,0.95
carry_distance_yd,launch_state_model,linear,rmse,12.041802771,17.0320451421,1000,0.95
carry_distance_yd,launch_state_model,ridge,mae,9.62075169772,12.2142312858,1000,0.95
carry_distance_yd,launch_state_model,ridge,mape,7.91157665867,12.0551610647,1000,0.95
carry_distance_yd,launch_state_model,ridge,rmse,11.8351407093,17.0077207684,1000,0.95
