ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,parameter_scenario,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,launch_direction_sd_deg,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie,single_surrogate_parameter_scenario,single_surrogate_p90_miss_distance_yd,deprecated_by,legacy_reason,model_member_count,model_combination_rule,simulation_count,worst_model_mean_miss_yd,objective_prediction_std,decision_space_support,full_model_input_support,joint_model_member_count,joint_simulation_count,joint_mean_miss_distance_yd,joint_median_miss_distance_yd,joint_p90_miss_distance_yd,joint_p95_miss_distance_yd,joint_worst_model_mean_miss_yd,joint_probability_within_3yd,joint_probability_within_5yd,joint_objective_prediction_std,joint_parameter_scenario
122.95753008,20.4367367846,0,1000,-30,169.031851688,-17.2140232533,28.1912785884,200,0,-30.9681483123,-17.2140232533,35.4309018578,0.91074957291,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-28.7755102041,172.103240077,-15.7420226553,28.1912785884,200,0,-27.896759923,-15.7420226553,32.0318668123,0.90771717787,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-27.5510204082,172.103240077,-15.3952404259,28.4979801616,200,0,-27.896759923,-15.3952404259,31.862872469,0.905717274367,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-26.3265306122,172.103240077,-14.8281008979,28.4979801616,200,0,-27.896759923,-14.8281008979,31.5927490168,0.906518113182,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-25.1020408163,172.103240077,-14.5779054262,28.5140293057,200,0,-27.896759923,-14.5779054262,31.4760947517,0.910046725729,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-23.8775510204,172.103240077,-14.4979073695,28.5669276277,200,0,-27.896759923,-14.4979073695,31.4391242292,0.916212821914,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-22.6530612245,176.500841913,-14.4683497513,28.5669276277,200,0,-23.4991580866,-14.4683497513,27.5960789843,0.918695418168,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-21.4285714286,176.5193459,-13.2968755903,28.5669276277,200,0,-23.4806540998,-13.2968755903,26.9842179323,0.921462120991,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-20.2040816327,176.401104176,-13.2968755903,28.5512050378,200,0,-23.5988958242,-13.2968755903,27.0871701103,0.921893669722,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-18.9795918367,176.28148212,-13.2304572892,28.5512050378,200,0,-23.7185178804,-13.2304572892,27.1590333135,0.924345782509,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-17.7551020408,177.721289774,-13.2304572892,28.5512050378,200,0,-22.2787102259,-13.2304572892,25.9111159429,0.928769587632,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-16.5306122449,177.721289774,-12.6528894917,28.5657434287,200,0,-22.2787102259,-12.6528894917,25.6210175796,0.935128038483,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-15.306122449,177.721289774,-12.6528894917,28.5657434287,200,0,-22.2787102259,-12.6528894917,25.6210175796,0.941534522329,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-14.0816326531,179.378692403,-8.86917606938,28.5657434287,200,0,-20.6213075967,-8.86917606938,22.4477306458,0.943742074943,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-12.8571428571,182.842031565,-8.86917606938,28.5657434287,200,0,-17.1579684352,-8.86917606938,19.3147136912,0.948109938093,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
