ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,parameter_scenario,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,launch_direction_sd_deg,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie,single_surrogate_parameter_scenario,single_surrogate_p90_miss_distance_yd,deprecated_by,legacy_reason,model_member_count,model_combination_rule,simulation_count,worst_model_mean_miss_yd,objective_prediction_std,decision_space_support,full_model_input_support,joint_model_member_count,joint_simulation_count,joint_mean_miss_distance_yd,joint_median_miss_distance_yd,joint_p90_miss_distance_yd,joint_p95_miss_distance_yd,joint_worst_model_mean_miss_yd,joint_probability_within_3yd,joint_probability_within_5yd,joint_objective_prediction_std,joint_parameter_scenario
80,5,0,2720.78398552,-1.25452917524,57.4762139131,-4.48662134214,1.18902934784,200,0,-142.523786087,-4.48662134214,142.594387588,1.0944436257,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,5.51020408163,0,2720.78398552,-1.25452917524,57.6927762242,-3.33054519808,1.76806337956,200,0,-142.307223776,-3.33054519808,142.346192327,1.07173290046,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6.02040816327,0,2720.78398552,-1.25452917524,57.6927762242,-2.91700293194,1.76806337956,200,0,-142.307223776,-2.91700293194,142.337116891,1.04305711098,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6.5306122449,0,2720.78398552,-1.25452917524,58.6500737343,-2.91572407342,1.76806337956,200,0,-141.349926266,-2.91572407342,141.37999541,1.0177611803,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7.04081632653,0,2720.78398552,-1.25452917524,67.6182819042,-2.07820137427,3.18411157838,200,0,-132.381718096,-2.07820137427,132.398029468,0.998996206518,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7.55102040816,0,2720.78398552,-1.25452917524,75.3455549097,-1.64792553235,4.03982451465,200,0,-124.65444509,-1.64792553235,124.665337361,0.973674169895,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8.0612244898,0,2720.78398552,-1.25452917524,75.3455549097,-1.64792553235,4.2608586189,200,0,-124.65444509,-1.64792553235,124.665337361,0.954418050996,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8.57142857143,0,2720.78398552,-1.25452917524,77.3251049717,-1.61385845929,4.59984370437,200,0,-122.674895028,-1.61385845929,122.685510185,0.94141185925,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,9.08163265306,0,2720.78398552,-1.25452917524,78.3226725396,-1.82044569185,5.22532725865,200,0,-121.67732746,-1.82044569185,121.690944776,0.933729374356,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,9.59183673469,0,2720.78398552,-1.25452917524,78.5384896679,-1.82044569185,5.4483088383,200,0,-121.461510332,-1.82044569185,121.475151841,0.91034963905,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,10.1020408163,0,2720.78398552,-1.25452917524,78.6349061606,-1.82044569185,5.92755392165,200,0,-121.365093839,-1.82044569185,121.378746184,0.883034188493,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,10.612244898,0,2720.78398552,-1.25452917524,78.2589275556,-1.80422495787,5.92755392165,200,0,-121.741072444,-1.80422495787,121.754441182,0.852390438167,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,11.1224489796,0,2720.78398552,-1.25452917524,81.9071357422,-1.87747067995,6.42416155545,200,0,-118.092864258,-1.87747067995,118.10778757,0.823774836619,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,11.6326530612,0,2720.78398552,-1.25452917524,83.0922528184,-2.04010227556,6.50223486609,200,0,-116.907747182,-2.04010227556,116.925546261,0.799241761003,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,12.1428571429,0,2720.78398552,-1.25452917524,83.0612307175,-2.04010227556,6.56469286105,200,0,-116.938769283,-2.04010227556,116.956563641,0.779290528265,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,12.6530612245,0,2720.78398552,-1.25452917524,84.4270606763,-1.98693202016,6.72817255549,200,0,-115.572939324,-1.98693202016,115.590017747,0.764484157533,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,13.1632653061,0,2720.78398552,-1.25452917524,84.700084289,-1.90283504499,7.31729877699,200,0,-115.299915711,-1.90283504499,115.31561622,0.73422292866,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,13.6734693878,0,2720.78398552,-1.25452917524,84.9713314773,-1.90283504499,7.37246043142,200,0,-115.028668523,-1.90283504499,115.04440605,0.706186118597,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,14.1836734694,0,2720.78398552,-1.25452917524,85.2087154521,-1.90283504499,7.8023697235,200,0,-114.791284548,-1.90283504499,114.807054615,0.686128397031,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,14.693877551,0,2720.78398552,-1.25452917524,87.4538171176,-1.90283504499,9.40674445428,200,0,-112.546182882,-1.90283504499,112.56226749,0.67478718904,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,15.2040816327,0,2720.78398552,-1.25452917524,88.8970632772,-1.90283504499,9.74593100716,200,0,-111.102936723,-1.90283504499,111.119230242,0.672774711199,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,15.7142857143,0,2720.78398552,-1.25452917524,89.2890955944,-2.02481108251,9.68634420646,200,0,-110.710904406,-2.02481108251,110.729418919,0.658493866152,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,16.2244897959,0,2720.78398552,-1.25452917524,88.7332122742,-2.01916136132,10.7376242855,200,0,-111.266787726,-2.01916136132,111.285107105,0.653041290068,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,16.7346938776,0,2720.78398552,-1.25452917524,89.1905576628,-2.01916136132,10.7295571789,200,0,-110.809442337,-2.01916136132,110.827837314,0.656668851586,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,17.2448979592,0,2720.78398552,-1.25452917524,90.4729280936,-2.01916136132,11.5770274266,200,0,-109.527071906,-2.01916136132,109.54568222,0.668951272,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,17.7551020408,0,2720.78398552,-1.25452917524,91.9255636343,-1.76830905068,11.677252961,200,0,-108.074436366,-1.76830905068,108.088901894,0.669251244902,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,18.2653061224,0,2720.78398552,-1.25452917524,92.0703161001,-1.76830905068,11.8558973702,200,0,-107.9296839,-1.76830905068,107.944168826,0.67492953397,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,18.7755102041,0,2720.78398552,-1.25452917524,92.4192611275,-1.79760270393,12.1557748595,200,0,-107.580738872,-1.79760270393,107.595756198,0.677062845889,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,19.2857142857,0,2720.78398552,-1.25452917524,92.6333608997,-2.07648058053,13.1361702435,200,0,-107.3666391,-2.07648058053,107.386716885,0.681700328883,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,19.7959183673,0,2720.78398552,-1.25452917524,93.2313290858,-2.08187903574,13.5252937272,200,0,-106.768670914,-2.08187903574,106.788966233,0.675936483499,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20.306122449,0,2720.78398552,-1.25452917524,93.2313290858,-2.01199120532,13.4955708381,200,0,-106.768670914,-2.01199120532,106.787626612,0.662408923859,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20.8163265306,0,2720.78398552,-1.25452917524,94.9721440263,-1.16778501758,14.2887267688,200,0,-105.027855974,-1.16778501758,105.034347964,0.654732997907,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,21.3265306122,0,2720.78398552,-1.25452917524,96.4247481167,-1.16778501758,14.6488267439,200,0,-103.575251883,-1.16778501758,103.581834916,0.65666485048,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
