ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations
120.750989557,19.4818696149,0,1000,-30,167.174568477,-18.7935359424,25.6117911815,200,0,-32.8254315235,-18.7935359424,37.8246737979,0.774628113579,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-28.7755102041,170.245956866,-17.4049416578,25.6117911815,200,0,-29.7540431342,-17.4049416578,34.4707858475,0.775396778202,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-27.5510204082,170.245956866,-17.0438136977,25.9184927548,200,0,-29.7540431342,-17.0438136977,34.2898624698,0.779092227183,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-26.3265306122,170.245956866,-16.4217805532,25.9184927548,200,0,-29.7540431342,-16.4217805532,33.9849666672,0.78038855026,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-25.1020408163,170.245956866,-16.1715850814,25.9345418988,200,0,-29.7540431342,-16.1715850814,33.8647788547,0.784728850612,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-23.8775510204,170.245956866,-16.0593577829,25.9874402208,200,0,-29.7540431342,-16.0593577829,33.8113302789,0.791964744316,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-22.6530612245,174.643558702,-16.0298001647,25.9874402208,200,0,-25.3564412978,-16.0298001647,29.9983934338,0.801935159851,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-21.4285714286,174.662062689,-14.9963824411,25.9874402208,200,0,-25.3379373111,-14.9963824411,29.4432089538,0.810582970079,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-20.2040816327,174.543820965,-14.9963824411,25.9717176309,200,0,-25.4561790354,-14.9963824411,29.5450255949,0.816369462997,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-18.9795918367,174.473346113,-14.9553263959,25.9717176309,200,0,-25.5266538875,-14.9553263959,29.5849935998,0.82240249691,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-17.7551020408,175.913153767,-14.9199497186,25.9717176309,200,0,-24.0868462329,-14.9199497186,28.3333912734,0.825964365565,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-16.5306122449,175.913153767,-14.3423819211,25.9862560218,200,0,-24.0868462329,-14.3423819211,28.0335527648,0.82251645457,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-15.306122449,175.913153767,-14.3423819211,25.9862560218,200,0,-24.0868462329,-14.3423819211,28.0335527648,0.821251826402,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-14.0816326531,177.570556396,-10.593901182,25.9862560218,200,0,-22.4294436038,-10.593901182,24.8054567107,0.822229928175,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-12.8571428571,181.033895558,-10.593901182,25.9862560218,200,0,-18.9661044422,-10.593901182,21.7242689167,0.825521680158,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-11.6326530612,181.033895558,-9.31930273368,25.9862560218,200,0,-18.9661044422,-9.31930273368,21.1320259595,0.82687295114,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-10.4081632653,181.033895558,-4.62069574261,26.0481223114,200,0,-18.9661044422,-4.62069574261,19.5208592756,0.816961542607,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-9.18367346939,181.033895558,-3.03579122701,26.0481223114,200,0,-18.9661044422,-3.03579122701,19.2075283701,0.802573053744,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-7.95918367347,181.033895558,-3.00685107333,26.0481223114,200,0,-18.9661044422,-3.00685107333,19.2029755791,0.786882496302,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-6.73469387755,180.995682735,-3.23759640538,26.1023190277,200,0,-19.0043172646,-3.23759640538,19.2781250431,0.774349885433,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-5.51020408163,180.995682735,-3.23759640538,26.1864172426,200,0,-19.0043172646,-3.23759640538,19.2781250431,0.765108913242,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-4.28571428571,180.995682735,-2.38520828722,26.1864172426,200,0,-19.0043172646,-2.38520828722,19.1534146634,0.756558006182,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1000,-3.0612244898,180.995682735,-1.88548816072,26.288272275,200,0,-19.0043172646,-1.88548816072,19.0976213257,0.744810777278,1.01189547215,supported,grid,,,,,,,,,,,,
