record_id,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
2,124.2618,9.44,1527.26,26.18,0.880732274713,1.01189547215,supported
4,118.4234,15.76,1933.6899,6.54,0.542587340267,1.01189547215,supported
5,125.4474,10.5,2501.9199,9.48,0.525735129815,1.01189547215,supported
8,133.3885,11.52,1699.51,-18.24,0.702664975738,1.01189547215,supported
9,132.27,12.51,3077.6599,11.28,0.289870652262,1.01189547215,supported
10,130.7713,13.97,3704.9199,13.33,0.379860001686,1.01189547215,supported
11,134.3951,12.02,5894.0698,19.69,0.782143619145,1.01189547215,supported
12,137.6387,11.5,2523.28,0.49,0.53272208903,1.01189547215,supported
13,141.6652,8.69,3181.8799,6.83,0.761007834383,1.01189547215,supported
14,131.241,3.5,3458.1899,-12.76,0.815470318197,1.01189547215,supported
16,124.0157,14.05,3468.6399,4.55,0.35652804632,1.01189547215,supported
18,120.3695,16.39,1716.98,-30.67,0.553307558808,1.01189547215,supported
20,117.1931,16.54,2538.6399,22.54,0.505966791761,1.01189547215,supported
21,113.2561,20.48,4431.4302,10.93,0.473263273194,1.01189547215,supported
23,129.2054,11.04,4941.7998,25.74,0.508754583634,1.01189547215,supported
25,126.2079,15.35,6532.46,29.46,0.781285815951,1.01189547215,supported
26,128.6909,14.78,5544.5098,13.54,0.58948527156,1.01189547215,supported
28,133.5004,11.94,2776.9099,9.39,0.364378683051,1.01189547215,supported
29,75.4519,30.82,2470.3201,15.11,1.33486429989,1.01189547215,borderline
33,87.7103,26.24,2378.6001,5.16,0.940623140841,1.01189547215,supported
34,84.7128,24.7,4218.3901,9.81,0.642590117201,1.01189547215,supported
35,111.0639,15.66,2935.26,25.5,0.382619063473,1.01189547215,supported
36,113.4798,16.41,2014.41,29.44,0.605297794188,1.01189547215,supported
38,122.6512,12.69,4722.8599,28.47,0.624984403105,1.01189547215,supported
39,119.2287,15.9,2905.0901,33.88,0.489048923072,1.01189547215,supported
41,130.1002,8.75,4331.6899,29.84,0.588998358785,1.01189547215,supported
42,119.4748,7.26,4974.0498,33.13,0.714992228354,1.01189547215,supported
43,86.8379,15.66,8943.5703,-10.12,1.19722276189,1.01189547215,borderline
44,123.8144,7.78,4221.1499,33.73,0.634180303231,1.01189547215,supported
46,118.2221,16.26,2239.6499,-12.62,0.569934411139,1.01189547215,supported
47,116.3654,17.18,3158.6599,32.63,0.407748990224,1.01189547215,supported
48,115.068,19.53,3298.25,28.54,0.450347224266,1.01189547215,supported
49,118.9826,16.64,6015.7798,34.71,0.573886170635,1.01189547215,supported
50,111.4218,11.71,3629.6799,31.88,0.514545908185,1.01189547215,supported
51,111.8916,19.99,3489.1201,25.9,0.477365549453,1.01189547215,supported
53,111.981,15.33,4624.3901,33.03,0.411386047406,1.01189547215,supported
55,113.9943,19.1,7168.3701,41.65,0.946507688281,1.01189547215,supported
56,117.5734,17.76,5294.9702,30.52,0.593509484742,1.01189547215,supported
59,91.7815,6.03,3386.74,55.44,1.11410337267,1.01189547215,borderline
61,92.8105,21.49,2595.03,-12.45,0.65074038345,1.01189547215,supported
64,98.6042,19.13,3245.49,-20.38,0.524552716548,1.01189547215,supported
65,104.0175,19.35,4749.0298,0.37,0.3001596321,1.01189547215,supported
66,114.7996,18.88,5507.8701,-3.31,0.526612724274,1.01189547215,supported
67,108.5138,19.4,4752.21,11.87,0.352613969632,1.01189547215,supported
68,117.7076,14.86,3124.28,3.44,0.324921127318,1.01189547215,supported
69,116.0523,16.66,3129.4299,10.52,0.456061920451,1.01189547215,supported
70,111.8244,18.75,3988.77,25.42,0.425515214187,1.01189547215,supported
71,114.3298,15.11,2692.8301,7.09,0.402379164157,1.01189547215,supported
73,131.5542,10.27,3130.3799,5.59,0.475002207147,1.01189547215,supported
74,130.995,14.28,3085.47,14.69,0.25557791326,1.01189547215,supported
75,131.1292,15.03,3276.6299,16.9,0.324053340124,1.01189547215,supported
76,122.4499,15.47,2708.03,22.25,0.543653501576,1.01189547215,supported
78,132.9859,15.39,3884.3401,18.32,0.482930409445,1.01189547215,supported
80,115.1351,18.27,2294.9099,5.13,0.561530374112,1.01189547215,supported
81,127.4606,19.03,3189.3601,3,0.664301144695,1.01189547215,supported
82,118.2221,23.23,4910.9199,-1.26,0.707277036767,1.01189547215,supported
83,84.243,41.82,6127.23,-22.84,1.38395569769,1.01189547215,borderline
86,102.8767,24.51,4866.02,16.75,0.666252081857,1.01189547215,supported
87,119.1169,19.19,4913.0898,14.71,0.491641147412,1.01189547215,supported
88,79.031,23.17,5146.2798,-10.63,0.691885144293,1.01189547215,supported
89,93.1684,17.72,5647.8599,-14.6,0.572422697367,1.01189547215,supported
90,92.0052,17.72,5676.1899,-24.7,0.647788675635,1.01189547215,supported
91,88.2695,21.01,5276.8398,-9.88,0.617741730186,1.01189547215,supported
92,103.6596,19.29,5766.3301,-28.38,0.842655310554,1.01189547215,supported
